弹幕所在位置,弹幕内容,弹幕发布时间
01:36,"""太帅了这个镜头""",2023-10-10 13:08:12
00:41,"""斩我境大神？（bushi""",2023-10-10 13:09:32
01:53,"""星穹列车:6""",2023-10-10 13:12:52
00:12,"""帅死了啊啊啊啊啊啊""",2023-10-10 13:13:19
01:47,"""若你摘得小得星星，你将的到小的快乐，若你摘得大的星星，你将的到大的财富，若你二者皆得，将得到永恒的幸福!""",2023-10-10 13:14:41
00:14,"""我在阳光，月亮之上""",2023-10-10 13:15:47
00:35,"""这里是什么乐器呀，好好听！""",2023-10-10 13:15:57
01:43,"""好爱啊！！！""",2023-10-10 13:16:00
00:16,"""月下飞天镜，云生结海楼""",2023-10-10 13:16:01
00:59,"""声音真的有一种疲惫感，太好听了""",2023-10-10 13:17:31
01:14,"""今夜明珠色 当随满月开""",2023-10-10 13:19:06
00:30,"""扭转万象！（即答）""",2023-10-10 13:19:52
01:35,"""这句话的腔调太好听了，有种蜜汁心疼的感觉""",2023-10-10 13:23:10
00:24,"""最喜欢的一集！""",2023-10-10 13:28:06
01:24,"""景元和饮月的pv里也有一段这样的旋律""",2023-10-10 13:28:19
01:25,"""这里的电音不要太绝，这个语气的转变好神！""",2023-10-10 13:38:32
01:27,"""雷霆半月斩""",2023-10-10 13:40:57
01:35,"""照彻万川这句太帅了""",2023-10-10 13:42:21
00:12,"""树脂↓""",2023-10-10 13:42:44
00:18,"""姐姐你怎么坐树脂上呀？""",2023-10-10 13:44:34
00:04,"""希望镜流能来一起冒险""",2023-10-10 13:46:17
00:11,"""一张嘴就是老凝光了""",2023-10-10 13:46:28
01:47,"""星星（星神）""",2023-10-10 13:47:07
01:14,"""今夜明珠色，当随满月开""",2023-10-10 13:50:29
01:46,"""斩下星星是镜流对白珩的诺言""",2023-10-10 14:01:47
00:35,"""太帅了！！！！！！""",2023-10-10 14:19:50
00:52,"""新敌方单位：魔阴刀斧手""",2023-10-10 14:22:50
00:31,"""最喜欢的一集""",2023-10-10 14:29:14
01:35,"""这里的音乐绝了！！！！""",2023-10-10 14:34:50
01:15,"""今夜明珠色，当随满月开""",2023-10-10 14:40:57
00:52,"""后跳带剑气""",2023-10-10 14:41:47
00:23,"""却不能邀诸位共赏（bushi）""",2023-10-10 14:42:54
01:13,"""这里的水珠是云五！""",2023-10-10 14:43:08
00:36,"""你可以永远相信米哈游的美术策划。""",2023-10-10 14:43:19
00:06,"""月下飞天镜，云生结海楼""",2023-10-10 14:45:38
01:02,"""动我心弦者,明月,美人,落雪,剑光。""",2023-10-10 14:49:07
00:14,"""结城理（幻视""",2023-10-10 14:52:46
00:37,"""大保底的重量，令人安心""",2023-10-10 15:00:54
00:46,"""剑光如我，斩尽芜杂！""",2023-10-10 15:14:41
01:27,"""最绝的一句，真的值得满命""",2023-10-10 15:16:24
01:07,"""左到右是镜流，刃，景元，开头还有一个丹枫""",2023-10-10 15:19:27
01:13,"""这段乐器转的太牛了啊""",2023-10-10 15:33:46
01:49,"""想起了崩三里的一位故人""",2023-10-10 16:16:02
00:26,"""月下飞天镜，云生结海楼。仍怜故乡水，万里送行舟。""",2023-10-10 16:17:48
00:00,"""笛声高远飘渺，二胡哀而不伤，绝了啊！！！""",2023-10-10 16:25:12
01:04,"""我剑也未尝不利""",2023-10-10 16:38:47
01:06,"""我一定要给镜流攒满命！！！""",2023-10-10 16:39:16
01:43,"""说书人""",2023-10-10 16:46:25
01:13,"""冰河裂谷剑""",2023-10-10 17:01:34
00:01,"""月下飞天镜，云生结海楼""",2023-10-10 17:09:30
00:30,"""扭转万像""",2023-10-10 17:10:55
00:10,"""月下飞天镜 云生结海楼""",2023-10-10 17:13:45
00:31,"""扭转万象！！""",2023-10-10 17:16:14
00:55,"""好喜欢好喜欢""",2023-10-10 17:23:28
00:56,"""碎叶飘散，太美了""",2023-10-10 17:33:51
01:45,"""哈哈，道姑我成了！""",2023-10-10 17:46:27
00:20,"""月下飞天镜，云生结海楼""",2023-10-10 17:51:34
01:52,"""列——车——""",2023-10-10 18:06:35
01:45,"""我是星星，斩我""",2023-10-10 18:09:55
01:09,"""镜流真的太美啦，长我审美上了""",2023-10-10 18:16:12
00:50,"""飞光流泻""",2023-10-10 18:19:20
00:30,"""我将 扭转万象""",2023-10-10 18:21:10
00:58,"""让我想到幽城的冰璃""",2023-10-10 18:32:48
00:19,"""没错，这是我的手""",2023-10-10 18:36:06
01:04,"""应该是大提琴和二胡的对唱吧""",2023-10-10 18:38:58
00:00,"""许愿镜流和专武不歪！""",2023-10-10 18:39:15
01:19,"""云五的小曲""",2023-10-10 18:42:38
01:49,"""她真好看""",2023-10-10 18:45:49
00:42,"""这里反握剑的姿势像罗刹""",2023-10-10 18:48:31
01:42,"""她真好看""",2023-10-10 18:58:08
01:42,"""杜老师：这么配音可是要给加班费的""",2023-10-10 19:16:52
01:19,"""露，露娜！""",2023-10-10 19:31:11
00:30,"""扭转万象!""",2023-10-10 19:35:37
01:17,"""美！实在是美！""",2023-10-10 19:36:10
00:19,"""镜流提前金，玩到关服""",2023-10-10 19:40:23
00:31,"""扭转万象""",2023-10-10 19:44:51
01:41,"""不灭月华""",2023-10-10 19:49:29
01:17,"""佛怒火莲""",2023-10-10 19:51:26
00:10,"""《璃月人》""",2023-10-10 19:56:48
00:30,"""扭转万象""",2023-10-10 19:59:08
00:30,"""扭转万象！！！""",2023-10-10 20:10:01
00:08,"""月下飞天镜 云生结海楼""",2023-10-10 20:22:03
00:32,"""扭转万象""",2023-10-10 20:25:03
00:28,"""欧内的手""",2023-10-10 20:52:41
00:50,"""月牙 天冲！""",2023-10-10 20:54:21
01:04,"""好耶音轨加上了""",2023-10-10 21:16:24
01:05,"""这段低语终于加上了！！！""",2023-10-10 21:26:49
00:13,"""月下飞天镜，云生结海楼""",2023-10-10 21:33:14
01:26,"""[前方高能]""",2023-10-10 21:41:04
00:26,"""识律的小曲""",2023-10-10 21:53:30
01:06,"""这段真的太牛了""",2023-10-10 21:55:11
00:11,"""月下飞天镜，云生结海楼。仍怜故乡水，万里送行舟。""",2023-10-10 21:57:44
00:03,"""好想变成雪落在月辉上啊""",2023-10-10 21:59:32
00:25,"""她真的好美！""",2023-10-10 22:02:17
00:48,"""月下飞天镜，云生结海楼""",2023-10-10 22:07:37
00:15,"""月下飞天镜，云生结海楼""",2023-10-10 22:12:27
01:17,"""这一幕好绝，超美！！！！！！！""",2023-10-10 22:37:07
00:56,"""飞光的旋律！！1""",2023-10-10 22:39:36
01:29,"""月下飞天镜 云生结海楼""",2023-10-10 22:41:03
00:57,"""许愿镜流加专武不歪！！""",2023-10-10 22:43:25
00:53,"""镜流手中握着的剑，好像是刃，锻造的支离剑的化身""",2023-10-10 23:05:50
00:21,"""月下飞天镜，云生结海楼""",2023-10-10 23:07:44
00:50,"""《凤凰羽》""",2023-10-10 23:20:08
01:51,"""太帅了！！！！！！！！！！！！！""",2023-10-10 23:20:44
01:23,"""出现了！云五的小曲！""",2023-10-11 00:17:02
00:42,"""冰寒飞影·霜风""",2023-10-11 00:27:44
00:16,"""汉语真的好美""",2023-10-11 00:53:09
00:47,"""出现了，云五小曲的变奏""",2023-10-11 00:56:49
00:17,"""月下飞天镜，云生结海楼""",2023-10-11 01:23:48
00:34,"""帅！太帅了！""",2023-10-11 02:30:03
00:17,"""月下飞天镜，云生结海楼""",2023-10-11 02:51:16
00:08,"""镜流和专武不歪！""",2023-10-11 03:58:26
01:14,"""月下飞天镜 云生结海楼""",2023-10-11 05:06:11
00:52,"""“——剑锋难断诸世苦、万川月华皆映雪”""",2023-10-11 05:42:46
00:05,"""许愿镜流和专武不歪！""",2023-10-11 08:06:31
01:38,"""穿刺公！""",2023-10-11 08:24:53
01:29,"""霜华满天""",2023-10-11 09:57:03
00:42,"""提瓦特的小曲i""",2023-10-11 11:04:43
01:03,"""崩坏系列特有的bgm绝佳""",2023-10-11 11:50:45
00:19,"""月下飞天镜，云生结海楼""",2023-10-11 12:12:38
00:11,"""镜流0+1已出，前来还愿""",2023-10-11 12:45:52
00:46,"""许愿镜流加专武，契约若成小月卡一直续上""",2023-10-11 12:49:25
00:08,"""月下飞天镜，云生结海楼。仍怜故乡水，万里送行舟。""",2023-10-11 13:07:33
00:36,"""一句话炸出一堆识厨""",2023-10-11 14:49:30
00:34,"""扭转万象""",2023-10-11 14:55:32
00:03,"""150抽1+1，前来还愿！""",2023-10-11 15:48:05
01:48,"""星：姐姐快来""",2023-10-11 21:19:58
00:44,"""已经0+1，谢谢米哈游，如果能1+1我就月卡满上""",2023-10-11 23:10:58
01:46,"""啊啊啊啊啊啊好爱啊""",2023-10-12 22:36:37
01:00,"""小提琴和二胡都好绝""",2023-10-13 15:05:21
01:44,"""镜流卡利斯如是挥""",2023-10-13 23:57:53
01:28,"""[前方高能]""",2023-10-14 10:51:21
00:17,"""月下飞天镜，云生结海楼""",2023-10-14 13:17:29
00:25,"""月下飞天镜，云生结海楼""",2023-10-14 17:02:04
01:28,"""[前方高能]""",2023-10-14 19:51:44
00:56,"""这个配乐，仙侠正统在二次元！""",2023-10-14 22:19:02
00:45,"""这一抖刀好有力量感，太帅啦！""",2023-10-16 02:08:35
00:26,"""还是中配听着有感觉，这段PV太绝了""",2023-10-18 00:31:00
01:21,"""云五の小曲""",2023-10-18 21:25:52
01:03,"""注意看，这里镜流的收剑动作和刃pv一模一样""",2023-10-18 22:13:56
00:35,"""扭转万象""",2023-10-20 23:49:45
00:15,"""月下飞天镜，云生结海楼""",2023-10-21 19:07:35
01:36,"""这个眼神，爱了爱了""",2023-10-21 22:34:51
01:43,"""穿刺姬！""",2023-10-23 12:09:47
00:04,"""镜流已出，前来还愿""",2023-10-24 21:14:21
01:22,"""云五的小曲""",2023-10-28 21:53:39
00:44,"""抖刀这一下 好帅!!!""",2023-11-27 12:52:32
01:27,"""破空寒冰砍""",2023-12-10 17:50:06
00:57,"""以月色为剑""",2023-12-14 14:11:05
00:30,"""月下飞天镜，云生结海楼""",2023-12-31 13:55:07
00:06,"""杜冥鸦老师！""",2023-12-31 19:36:20
01:20,"""云五的小曲""",2024-01-15 22:49:37
01:14,"""月下飞天镜，云生结海楼""",2024-01-27 06:39:30
01:28,"""[前方高能]""",2024-01-28 12:13:22
00:36,"""从残月变成满月，北极熊说是从现实世界转变成她的内心世界""",2024-01-29 13:39:08
01:51,"""星星是和白珩的约定啊""",2024-02-06 01:58:27
00:55,"""唤起一天明月，照我满怀冰雪""",2024-03-04 14:53:44
01:12,"""太震撼了这一幕，真的美""",2024-04-05 19:21:08
00:37,"""昙华生梦，天河留泻，无罅飞光，镜门永存！""",2024-05-07 19:31:00
00:50,"""就让这一轮月华……照彻万川""",2024-05-25 12:27:27
01:48,"""中配真的太绝了，我好爱""",2024-05-26 19:58:43
