标题,描述,BV号,播放量,弹幕,评论,时长,上传时间
米哈云游研发纪录片——开启无边界的游戏世界,「技术宅拯救世界」——这是我们一直在贯彻的使命。,BV1DZ421z71n,1171142,12347,7456,07:38,2024-02-07
《崩坏：星穹铁道》走近星穹——「黑天鹅：命运啊，你往何处去？」,"银河中一切雄浑的「历史」，都是无数渺小「记忆」的汇编。世事流转、沧海桑田、兴亡更迭，在她的眼中如无形的纱线，穿过命运的机杼，编织成未来的质料。
敬请收看星际和平娱乐特别节目《走近星穹》——「黑天鹅：命运啊，你往何处去？」。

中文CV：
叽米——刘北辰
花火——赵爽",BV176421u7o1,1976963,6837,7498,07:33,2024-02-06
《崩坏：星穹铁道》黑天鹅角色PV——「摇篮曲」,"「大兔子病了，二兔子瞧。三兔子买药，四兔子熬。」
「五兔子死了，六兔子抬。七兔子挖坑，八兔子埋。」
「九兔子坐下哭起来，十兔子问它为什么？」
「九兔子说，五兔子一去不回来。」

中文CV：
黑天鹅——杨梦露
女开拓者——陈婷婷

日文CV：
黑天鹅——生天目仁美
女开拓者——石川由依

英文CV：
黑天鹅——Arryn Zech
女开拓者——Rachael Chau

韩文CV：
黑天鹅——김하영
女开拓者——김하루",BV1St421W7V1,3120307,8208,7453,08:04,2024-02-05
《崩坏：星穹铁道》星穹研习会04期——「走近梦境」,"梦境世界为我们提供了一个充满想象力与真实感的空间，没有人能从我们身上夺走这样奇妙的体验。

本期嘉宾：
中国科学院大学神经生物学博士 唐骋（鬼谷藏龙）
诺贝尔生理学或医学奖获得者，挪威心理学家、神经学家 爱德华·莫泽",BV1m6421G7bn,1542193,9530,3688,14:07,2024-02-03
《崩坏：星穹铁道》千星纪游PV：「旧梦重温」,"一件失物，一声巨响，一缕冥火……
记忆的洪流奔涌而过，盈满整座星球
——在盛会开始前，有些秘密已被沉入海底。

中文CV：
黑天鹅——杨梦露
知更鸟——钱琛 

日文CV：
黑天鹅——生天目仁美
知更鸟——名冢佳织

英文CV：
黑天鹅——Arryn Zech
知更鸟——Alice Himora

韩文CV：
黑天鹅——김하영
知更鸟——신온유",BV1FZ421z7PE,2803039,7892,7425,10:30,2024-02-01
紧急爆料！匹诺康尼幕后秘闻大公开！,"如今匹诺康尼发来邀请，停驻在仙舟的步伐即将再度启程。
这场开拓之旅的前方会有什么样的惊喜？
今天我们来到米哈游，走近《崩坏：星穹铁道》项目组。
从游戏的创作者口中，挖掘出这个世界背后的故事——",BV1DV411S7Mh,2989241,26814,8497,14:48,2024-01-30
《崩坏：星穹铁道》「不眠之夜」舞蹈MV,"新的旅程即将开启，「盛会之星」匹诺康尼——在金色的美梦中享受假日吧！

中文演唱者：张杰",BV1Se411Y7ZE,3939248,5986,6327,02:15,2024-01-28
开云！星穹铁道,"《云•星穹铁道》网页版与安卓端将于2月6日正式上线！
开拓者每版本登录《云•星穹铁道》，即可领取10小时的免费时长。",BV1ta4y1C76q,1087124,1871,2684,03:09,2024-01-27
《崩坏：星穹铁道》 2.0版本「假如在午夜入梦」前瞻特别节目,"《崩坏：星穹铁道》 2.0版本「假如在午夜入梦」将于2024年2月6日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。
兑换码将于1月27日 23:59:59失效，记得尽快兑换哦~",BV15N4y1J75R,3909863,55511,12667,53:20,2024-01-26
《崩坏：星穹铁道》OP：「不眠之夜」,"梦境里那个声音笑着说：「带我离开。」
但我却亲手杀死了睡眠、忘记了时间。

中文演唱者：张杰

英文演唱者：Jake Miller",BV1me411n7eu,36440491,36916,89917,03:20,2024-01-26
《崩坏：星穹铁道》美梦预告PV：「了不起的塔塔洛夫」,"「幸会，异乡的来访者。我名为莎塔娜，想和您谈一个条件……」
「您问为什么能听懂我说的话？呃，您不是有那什么『联觉信标』吗？」

*视频中莎塔娜的声音由特殊联觉信标翻译而成。
*更多剧情敬请期待1月26号的2.0版本前瞻特别节目。

中文CV：
莎塔娜：秦紫翼
姬子：林簌
流萤：宋媛媛
桑博：刘圣博

日文CV：
莎塔娜：内山夕实
姬子：田中理惠
流萤：楠木灯
桑博：平川大辅

英文CV：
莎塔娜：Elizabeth Maxwell
姬子：Cia Court
流萤：Analesa Fisher
桑博：Rog",BV1VC4y1k7dy,4454328,11751,10304,06:15,2024-01-24
《崩坏：星穹铁道》匹诺康尼旅游宣传动画：「滴答！一起来梦游吧！」,"谁能想到呢？在广袤的星空中，还有这样一个奇妙的地方：
这里的人们闭上了眼睛，夜半却无一人入眠；
这里的城市金迷纸醉，钱物却被视作秽土。

各位尊贵的来宾，欢迎来到「匹诺康尼」——跟上你们有趣的向导「钟表小子」，和我们一同踏入这颗无与伦比的美梦之星！

中文CV：
钟表小子——秦且歌
仓鼠球骑士——Kinsen

日文CV：
钟表小子——柳晃平
仓鼠球骑士——风间万裕子

英文CV：
钟表小子——Niko Gerentes
仓鼠球骑士——Jacob Craner

韩文CV：
钟表小子——이주승
仓鼠球骑士",BV1iC4y1C7KV,4087785,19475,13972,13:54,2024-01-21
《崩坏：星穹铁道》千星纪游PV：「永火一夜：第33场」,"第33场。
内景。永火官邸——夜。毁灭。
炽热的火焰说道：「美梦燃烧了我的花朵，我的死亡。」

中文CV：
冥火大公——孟祥龙
「调音师」阿卡什——赵梓涵
「书吏」杜布拉——苏子芜
「枷锁」卡翠娜——李蝉妃
「大丽花」康士坦丝——阮从青

日文CV：
冥火大公——丹泽晃之
「调音师」阿卡什——新垣樽助
「书吏」杜布拉——野口瑠璃子
「枷锁」卡翠娜——三瓶由布子
「大丽花」康士坦丝——佐佐木未来

英文CV：
冥火大公——Bob Johnson
「调音师」阿卡什——Talon Warburton
「书吏」杜",BV1UK411e7tY,5315755,19311,32121,12:31,2024-01-19
《崩坏：星穹铁道》走近星穹——「真理医生：我有知识我自豪」,"你还在为闲暇时间无聊，只能刷手机解闷而苦恼吗？你还在担心自己的知识面太窄，难以适应世异时移的变化吗？你是否发现自己在课本之外，对现实的了解太少，不能应对复杂多样的社会？别担心！真理医生为你带来知识，突破迷障！学真理，用真理，我有知识我自豪！

敬请收看星际和平娱乐特别节目《走近星穹》——「真理医生：我有知识我自豪」。

中文CV：
叽米——刘北辰
螺丝咕姆——赵洋",BV1q5411e7wm,1699576,5483,3441,06:00,2024-01-17
《崩坏：星穹铁道》真理医生角色PV——「愚不可及」,"提问前不如先想一想，你的答案是不是已经先于问题确定？
这种问题不问出口，对大家都好。

中文CV：
真理医生——桑毓泽
旁白——李程远

日文CV：
真理医生——武内骏辅
旁白——浜田治贵

英文CV：
真理医生——Jordan Paul Haro
旁白——Bob Johnson

韩文CV：
真理医生——이동훈
旁白——오해성",BV1ok4y1Q7Am,4528028,16189,9642,07:23,2024-01-12
